Sport,League,Home_Team,Away_Team,Scenario,Home_Line,Away_Line,Who_Won,Winning_Line
BASKETBALL,COLLEGE MENS,STONEHILL,CHICAGO STATE,n/a,-470,360,STONEHILL,-470
BASKETBALL,COLLEGE MENS,NORTHERN KENTUCKY,MILWAUKEE,n/a,105,-125,MILWAUKEE,-125
BASKETBALL,COLLEGE MENS,DAYTON,SAINT JOSEPHS,n/a,-290,235,DAYTON,-290
BASKETBALL,COLLEGE MENS,PURDUE,MICHIGAN,n/a,-170,142,PURDUE,-170
BASKETBALL,COLLEGE MENS,IOWA,PENN STATE,n/a,-175,145,IOWA,-175
BASKETBALL,COLLEGE MENS,WASHINGTON,UCLA,n/a,180,-218,UCLA,-218
BASKETBALL,NBA,IND PACERS,SA SPURS,n/a,-148,124,SA SPURES,124
BASKETBALL,NBA,ORL MAGIC,POR TRAIL BLAZERS,n/a,-325,260,POR TRAIL BLAZERS,260
BASKETBALL,NBA,MIL BUCKS,MIA HEAT,n/a,-278,225,MIL BUCKS,-278
BASKETBALL,NBA,ATL HAWKS,TOR RAPTORS,n/a,-180,150,TOR RAPTORS,150
BASKETBALL,NBA,OKC THUNDER,DAL MAVERICKS,n/a,-850,575,DAL MAVERICKS,575
BASKETBALL,NBA,DEN NUGGETS,SAC KINGS,n/a,-395,310,DEN NUGGETS,-395
BASKETBALL,NBA,LA LAKERS,BOS CELTICS,n/a,154,-185,LA LAKERS,154
BASKETBALL,NBA,LA CLIPPERS,WAS WIZARDS,n/a,-900,600,LA CLIPPERS,-900
BASKETBALL,NBA,GS WARRIORS,CHI BULLS,n/a,-122,102,GS WARRIORS,-122
BASKETBALL,COLLEGE MENS,GEORGIA SOUTHERN,COASTAL CAROLINA,n/a,-258,210,GEORGIA SOUTHERN,-258
BASKETBALL,COLLEGE MENS,LOUISIANA,TEXAS STATE,n/a,220,-270,TEXAS STATE,-270
BASKETBALL,COLLEGE MENS,WILLIAM & MARY,HAMPTON,n/a,-285,230,WILLIAM & MARY,-285
BASKETBALL,COLLEGE MENS,UMASS LOWELL,MAINE,n/a,-205,170,MAINE,170
BASKETBALL,COLLEGE MENS,BELLARMINE,FLORIDA GULF COAST,n/a,525,-750,FLORIDA GULF COAST,-750
BASKETBALL,COLLEGE MENS,MEMPHIS,WICHITA STATE,n/a,-1000,650,MEMPHIS,-1000
BASKETBALL,COLLEGE MENS,ELON,MONMOUTH,n/a,-625,455,ELON,-625
BASKETBALL,COLLEGE MENS,TOWSON,NORTH CAROLINA A&T,n/a,-1100,700,TOWSON,-1100
BASKETBALL,COLLEGE MENS,VERMONT,NJIT,n/a,-1450,850,VERMONT,-1450
BASKETBALL,COLLEGE MENS,LOUISIANA TECH,WESTERN KENTUCKY,n/a,-225,185,LOUISIANA TECH,-225
BASKETBALL,COLLEGE MENS,GEORGIA STATE,MARSHALL,n/a,190,-1650,MARSHALL,-1650
BASKETBALL,COLLEGE MENS,NEW HAMPSHIRE,BRYANT,n/a,950,-1650,BRYANT,-1650
BASKETBALL,COLLEGE MENS,EASTERN KENTUCKY,STETSON,n/a,-900,600,STETSON,600
BASKETBALL,COLLEGE MENS,CHARLESTON,UNC WILMINGTON,n/a,-155,130,UNC WILMINGTON,130
BASKETBALL,COLLEGE MENS,WEST GEORGIA,JACKSONVILLE,n/a,380,-500,JACKSONVILLE,-500
BASKETBALL,COLLEGE MENS,NORTHEASTERN,DREXEL,n/a,-148,124,NORTHEASTERN,-148
BASKETBALL,COLLEGE MENS,SAINT PETERS,MERRIMACK,n/a,-110,-110,MERRIMACK,-110
BASKETBALL,COLLEGE MENS,CHATTANOOGA,SAMFORD,n/a,-102,-118,SAMFORD,-118
BASKETBALL,COLLEGE MENS,QUEENS NC,NORTH FLORIDA,n/a,-198,164,NORTH FLORIDA,164
BASKETBALL,COLLEGE MENS,NORTH ALABAMA,LIPSCOMB,n/a,-102,-118,NORTH ALABAMA,-102
BASKETBALL,COLLEGE MENS,SAM HOUSTON,MIDDLE TENNESSEE,n/a,110,-130,MIDDLE TENNESSEE,-130
BASKETBALL,COLLEGE MENS,CENTRAL ARKANSAS,AUSTIN PEAY,n/a,110,-130,AUSTIN PEAY,-130
BASKETBALL,COLLEGE MENS,ORAL ROBERTS,DENVER,n/a,-230,190,DENVER,190
BASKETBALL,COLLEGE MENS,UMKC,SOUTH DAKOTA STATE,n/a,170,-205,SOUTH DAKOTA STATE,-205
BASKETBALL,COLLEGE MENS,NORTH DAKOTA,SOUTH DAKOTA,n/a,-166,140,SOUTH DAKOTA,140
BASKETBALL,COLLEGE MENS,ABILENE CHRISTIAN,TARLETON STATE,n/a,-175,145,ABILENE CHRISTIAN,-175
BASKETBALL,COLLEGE MENS,UT ARLINGTON,SEATTLE,n/a,110,-130,UT ARLINGTON,110
BASKETBALL,COLLEGE MENS,OMAHA,SAINT THOMAS MN,n/a,136,-162,OMAHA,136
BASKETBALL,COLLEGE MENS,SOUTHERN UTAH,GRAND CANYON,n/a,455,-625,GRAND CANYON,-625
BASKETBALL,COLLEGE MENS,WESTERN ILLINOIS,LITTLE ROCK,n/a,170,-205,LITTLE ROCK,-205
BASKETBALL,COLLEGE MENS,SIU EDWARDSVILLE,SOUTHERN INDIANA,n/a,-298,240,SIU EDWARDSVILLE,-298
BASKETBALL,COLLEGE MENS,TENNESSEE STATE,TENNESSEE TECH,n/a,-192,160,TENNESSEE STATE,-192
BASKETBALL,COLLEGE MENS,LINDENWOOD,SE MISSOURI STATE,n/a,114,-135,LINDENWOOD,114
