Sport,League,Home_Team,Away_Team,Scenario,Points,Actual_Points,OU
BASKETBALL,NBA,MEM GRIZZLIES,MIN TIMBERWOLVES,n/a,237.5,214,U
BASKETBALL,NBA,NY KNICKS,ATL HAWKS,n/a,238.0,229,U
BASKETBALL,NBA,CLE CAVALIERS,PHO SUNS,n/a,237.0,210,U
BASKETBALL,NBA,GS WARRIORS,BOS CELTICS,n/a,224.0,210,U
BASKETBALL,NBA,NO PELICANS,UTA JAZZ,n/a,229.5,242,O
BASKETBALL,NBA,LA CLIPPERS,CHI BULLS,n/a,227.0,211,U
FOOTBALL,CFB,NOTRE DAME,OHIO STATE,NATIONAL CHAMPIONSHIP,45.5,57,O
BASKETBALL,CBB,UNC WILMINGTON,WILLIAM & MARY,n/a,155.0,159,O
BASKETBALL,CBB,YALE,DARTMOUTH,n/a,153.0,150,U
BASKETBALL,CBB,HARVARD,PENNSYLVANIA,n/a,140.5,149,O
BASKETBALL,CBB,NORTHWESTERN STATE,NEW ORLEANS,n/a,143.5,134,U
BASKETBALL,CBB,EAST TEXAS A&M,SE LOUISIANA,n/a,137.5,144,O
BASKETBALL,CBB,NICHOLLS STATE,LAMAR,n/a,141.5,152,O
BASKETBALL,CBB,PRAIRIE VIEW,ALCORN,n/a,142.5,148,O
BASKETBALL,CBB,MCNEESE,STEPHEN F AUSTIN,n/a,133.5,138,O
BASKETBALL,CBB,TEXAS SOUTHERN,JACKSON STATE,n/a,142.0,154,O
BASKETBALL,CBB,NEW MEXICO,FRESNO STATE,n/a,162.5,162,U
BASKETBALL,CBB,INCARNATE WORD,UT RIO GRANDE VALLEY,n/a,147.5,163,O
BASKETBALL,CBB,VILLANOVA,GEORGETOWN,n/a,136.5,127,U
BASKETBALL,CBB,PENN STATE,RUTGERS,n/a,156.0,152,U
BASKETBALL,CBB,FLORIDA A&M,MISSISSIPPI VALLEY,n/a,136.5,136,U
BASKETBALL,CBB,BETHUNE-COOKMAN,ARKANSAS-PINE BLUFF,n/a,154.5,137,U
BASKETBALL,CBB,HOUSTON CHRISTIAN,A&M-CORPUS CHRISTI,n/a,145.5,148,O
BASKETBALL,CBB,CHICAGO STATE,FAIRLEIGH DICKINSON,n/a,145.0,106,U
BASKETBALL,CBB,MONTANA STATE,EASTERN WASHINGTON,n/a,144.5,138,U
BASKETBALL,CBB,MONTANA,IDAHO,n/a,150.0,139,U
BASKETBALL,CBB,NORTH CAROLINA A&T,HAMPTON,n/a,146.0,147,O
BASKETBALL,NBA,MIA HEAT,SA SPURS,n/a,220.0,235,O
BASKETBALL,NBA,ORL MAGIC,DEN NUGGETS,n/a,221.5,213,U
BASKETBALL,NBA,OKC THUNDER,BKN NETS,n/a,217.5,228,O
BASKETBALL,NBA,MIL BUCKS,PHI 76ERS,n/a,223.0,232,O
BASKETBALL,NBA,LA CLIPPERS,LA LAKERS,n/a,215.0,218,O
BASKETBALL,NBA,SAC KINGS,WAS WIZARDS,n/a,232.5,223,U
BASKETBALL,NBA,POR TRAIL BLAZERS,CHI BULLS,n/a,235.5,215,U
FOOTBALL,NFL,KC CHIEFS,HOU TEXANS,PLAYOFFS,41.5,37,U
FOOTBALL,NFL,DET LIONS,WAS COMMANDERS,PLAYOFFS,55.5,76,O
FOOTBALL,NFL,PHI EAGLES,LA RAMS,PLAYOFFS,42.5,50,O
FOOTBALL,NFL,BUF BILLS,BAL RAVENS,PLAYOFFS,51.5,52,O
BASKETBALL,NBA,DET PISTONS,PHO SUNS,n/a,227.5,246,O
BASKETBALL,NBA,IND PACERS,PHI 76ERS,n/a,225.0,217,U
BASKETBALL,NBA,BOS CELTICS,ATL HAWKS,n/a,235.5,234,U
BASKETBALL,NBA,GS WARRIORS,WAS WIZARDS,n/a,229.0,236,O
BASKETBALL,NBA,MIN TIMBERWOLVES,CLE CAVALIERS,n/a,226.5,241,O
BASKETBALL,NBA,POR TRAIL BLAZERS,HOU ROCKETS,n/a,223.0,228,O
BASKETBALL,NBA,BOS CELTICS,ORL MAGIC,n/a,213.0,215,O
BASKETBALL,NBA,NY KNICKS,MIN TIMBERWOLVES,n/a,218.5,215,U
BASKETBALL,NBA,MIL BUCKS,TOR RAPTORS,n/a,232.0,242,O
BASKETBALL,NBA,CHI BULLS,CHA HORNETS,n/a,235.5,248,O
BASKETBALL,NBA,MIA HEAT,DEN NUGGETS,n/a,226.5,246,O
BASKETBALL,NBA,NO PELICANS,UTA JAZZ,n/a,229.5,259,O
BASKETBALL,NBA,DAL MAVERICKS,OKC THUNDER,n/a,224.5,204,U
BASKETBALL,NBA,SA SPURS,MEM GRIZZLIES,n/a,240.0,252,O
BASKETBALL,NBA,LA LAKERS,BKN NETS,n/a,217.5,203,U
BASKETBALL,CBB,AKRON,OHIO,n/a,160.0,172,O
BASKETBALL,CBB,VILLANOVA,PROVIDENCE,n/a,140.5,148,O
BASKETBALL,CBB,SAINT JOSEPHS,VCU,n/a,142.5,147,O
BASKETBALL,CBB,GREEN BAY,ROBERT MORRIS,n/a,144.5,156,O
BASKETBALL,CBB,GEORGETOWN,DEPAUL,n/a,141.0,141,D
BASKETBALL,CBB,OHIO STATE,INDIANA,n/a,148.5,153,O
